lon,lat,id
-122.243859,37.860892,id20160102142634
-122.244787,37.859051,id20160102142634
-122.251162,37.858661,id20160102142634
-122.251068,37.860773,id20160102142634
-122.253235,37.860614,id20160102142634
-121.986693,37.844537,id20160110113917
-121.978530,37.845012,id20160110113917
-121.978381,37.835136,id20160110113917
-121.968693,37.835735,id20160110113917
-121.967915,37.837048,id20160110113917
-121.968226,37.838175,id20160110113917
-121.967913,37.837104,id20160110113917
-121.958724,37.835195,id20160110113917
-121.957953,37.834403,id20160110113917
-121.954744,37.835114,id20160110113917
-121.950973,37.837466,id20160110113917
-121.949589,37.841127,id20160110113917
-121.949868,37.844180,id20160110113917
-121.947941,37.843346,id20160110113917
-121.948357,37.842770,id20160110113917
-121.947771,37.842280,id20160110113917
-121.946019,37.843364,id20160110113917
-121.943523,37.841978,id20160110113917
-121.941497,37.843386,id20160110113917
-121.940090,37.842984,id20160110113917
-121.940229,37.841557,id20160110113917
-121.938615,37.841021,id20160110113917
-121.937329,37.841670,id20160110113917
-121.936813,37.844357,id20160110113917
-121.935503,37.843561,id20160110113917
-121.933565,37.843987,id20160110113917
-121.931942,37.841369,id20160110113917
-121.926333,37.842697,id20160110113917
-121.924734,37.840992,id20160110113917
-121.921947,37.840737,id20160110113917
-121.921283,37.841469,id20160110113917
-121.921720,37.842374,id20160110113917
-121.920374,37.843066,id20160110113917
-121.926700,37.845264,id20160110113917
-121.927132,37.846710,id20160110113917
-121.932888,37.849566,id20160110113917
-121.932613,37.850981,id20160110113917
-121.931578,37.850531,id20160110113917
-121.930338,37.851120,id20160110113917
-121.930024,37.850252,id20160110113917
-121.928552,37.851735,id20160110113917
-121.926357,37.851314,id20160110113917
-121.925695,37.852103,id20160110113917
-121.930538,37.853502,id20160110113917
-121.934383,37.856037,id20160110113917
-121.935572,37.858325,id20160110113917
-121.932695,37.862713,id20160110113917
-121.933199,37.863787,id20160110113917
-121.932532,37.864243,id20160110113917
-121.933304,37.864889,id20160110113917
-121.931759,37.865895,id20160110113917
-121.932216,37.866786,id20160110113917
